,name,state,price in €,rooms,size
0,Apartment Amstelveenseweg 318 1,1076 CS Amsterdam (Stadionbuurt),"1,750 per month",3 rooms,70 m²
1,Apartment Anjeliersstraat,1015 ND Amsterdam (Jordaan),"1,500 per month",2 rooms,41 m²
2,Apartment Prinsengracht,1017 JN Amsterdam (De Weteringschans),"3,250 per month",3 rooms,125 m²
3,Apartment Utrechtsestraat 28 II/III,1017 VN Amsterdam (Grachtengordel-Zuid),"1,950 per month",3 rooms,82 m²
4,Apartment Herenstraat 4 F,1015 CA Amsterdam (Grachtengordel-West),"2,500 per month",2 rooms,70 m²
5,Apartment Gouden Leeuw,"1103 KD Amsterdam (Bijlmer Oost (E,G,K))","1,850 per month",4 rooms,110 m²
6,Apartment Jisperveldstraat,1024 AK Amsterdam (Waterlandpleinbuurt),"1,850 per month",3 rooms,85 m²
7,Apartment Wilhelminastraat 140,1054 WR Amsterdam (Overtoomse Sluis),"1,750 per month",2 rooms,50 m²
8,Apartment Jesse Owenshof,1034 WT Amsterdam (Banne Buiksloot),"1,650 per month",3 rooms,90 m²
9,Apartment Frans van Mierisstraat,1071 RR Amsterdam (Museumkwartier),"2,750 per month",3 rooms,82 m²
10,Apartment Lindengracht 62 2,1015 KJ Amsterdam (Jordaan),"4,200 per month",5 rooms,210 m²
11,Apartment Jacob van Lennepkade 352 hs,1053 NK Amsterdam (Van Lennepbuurt),"1,800 per month",2 rooms,60 m²
12,Apartment Kloekhorststraat 101,"1104 ML Amsterdam (Bijlmer Oost (E,G,K))","1,200 per month",2 rooms,50 m²
13,Apartment Van Eeghenstraat,1071 GK Amsterdam (Museumkwartier),"3,350 per month",3 rooms,145 m²
14,Apartment Van Baerlestraat,1071 BD Amsterdam (Museumkwartier),"2,290 per month",3 rooms,71 m²
15,Apartment Eerste Jan van der Heijdenstraat,1072 VD Amsterdam (Oude Pijp),"1,890 per month",4 rooms,56 m²
16,Apartment Venetiëhof,1019 NA Amsterdam (Oostelijk Havengebied),"1,450 per month",3 rooms,89 m²
17,Apartment Parnassusweg 159,1077 DE Amsterdam (Prinses Irenebuurt e.o.),"2,250 per month",4 rooms,110 m²
18,Apartment Cornelis Anthoniszstraat 17 HS,1071 VN Amsterdam (Museumkwartier),"2,400 per month",3 rooms,65 m²
19,Apartment Nickeriestraat 21 2,1058 VT Amsterdam (Westindische Buurt),"2,500 per month",5 rooms,115 m²
20,Apartment Wilhelminastraat 93 1,1054 VZ Amsterdam (Overtoomse Sluis),"1,550 per month",2 rooms,55 m²
21,Apartment Ceintuurbaan 286 4,1072 GK Amsterdam (Nieuwe Pijp),"2,250 per month",2 rooms,79 m²
